Year	Sample_Date	Plot	Heat_Treatment	Species	Mass
2007	8/22/07	29	Control	Mosses	150.53
2007	8/22/07	29	Control	Unsorted biomass	150.53
2007	8/24/07	29	High	Achillea millefolium(lanulosa)	0.13
2007	8/24/07	29	High	Achillea millefolium(lanulosa)	3.6
2007	8/24/07	29	High	Achillea millefolium(lanulosa)	9.77
2007	8/24/07	29	High	Crepis tectorum	1.43
2007	8/24/07	29	High	Cyperus sp.	0.53
2007	8/23/07	29	High	Euphorbia glyptosperma	0.05
2007	8/24/07	29	High	Lespedeza capitata	139.9
2007	8/21/07	29	Low	Achillea millefolium(lanulosa)	0.6
2007	8/21/07	29	Low	Achillea millefolium(lanulosaaaa)	1.1
2007	8/21/07	29	Low	Achillea millefolium(lanulosabb)	4.9
2007	8/21/07	29	Low	Achillea millefolium(lanulosacc)	0.87
2007	8/21/07	29	Low	Cyperus sp.	1.53
2007	8/20/07	29	Low	Lepidium densiflorum	0.05
2007	8/21/07	29	Low	Lespedeza capitata	54.67
2007	8/21/07	29	Low	Poa pratensis	0.07
2007	8/21/07	29	Low	Rumex acetosella	0.33
2007	8/21/07	29	Low	Schizachyrium scoparium	0.7
2007	8/21/07	64	Control	Unsorted biomass	202.55
2007	8/20/07	64	High	Bouteloua gracilis	12.2
2007	8/20/07	64	High	Cyperus sp.	0.23
2007	8/20/07	64	High	Koeleria cristata	0.87
2007	8/20/07	64	High	Lespedeza capitata	52.83
2007	8/20/07	64	High	Liatris aspera	2.8
2007	8/20/07	64	High	Lupinus perennis	50.9
2007	8/20/07	64	High	Panicum virgatum	0.43
2007	8/20/07	64	High	Petalostemum purpureum	9.03
2007	8/20/07	64	High	Petalostemum villosum	15.13
2007	8/20/07	64	High	Poa pratensis	0.23
2007	8/20/07	64	High	Schizachyrium scoparium	23.6
2007	8/20/07	64	High	Solidago nemoralis	32.1
2007	8/20/07	64	High	Sorghastrum nutans	5.53
2007	8/20/07	64	High	Stipa spartea	4
2007	8/24/07	64	Low	Achillea millefolium(lanulosa)	0.83
2007	8/24/07	64	Low	Andropogon gerardi	13.93
2007	8/24/07	64	Low	Bouteloua curtipendula	0.2
2007	8/24/07	64	Low	Bouteloua gracilis	27.1
2007	8/24/07	64	Low	Coreopsis palmata	4.4
2007	8/24/07	64	Low	Koeleria cristata	0.83
2007	8/24/07	64	Low	Lespedeza capitata	44.1
2007	8/24/07	64	Low	Liatris aspera	14
2007	8/24/07	64	Low	Lupinus perennis	27.87
2007	8/24/07	64	Low	Miscellaneous litter	1.87
2007	8/24/07	64	Low	Petalostemum candidum	3
2007	8/24/07	64	Low	Petalostemum purpureum	9.33
2007	8/24/07	64	Low	Schizachyrium scoparium	10.97
2007	8/24/07	64	Low	Solidago rigida	39.57
2007	8/24/07	64	Low	Sporobolus cryptandrus	0.6
2007	8/20/07	69	Control	Unsorted biomass	58.85
2007	8/20/07	69	High	Achillea millefolium(lanulosa)	3.53
2007	8/20/07	69	High	Agropyron repens	0.37
2007	8/20/07	69	High	Aristida basiramea	6.53
2007	8/20/07	69	High	Crepis tectorum	0.83
2007	8/20/07	69	High	Cyperus sp.	3.17
2007	8/20/07	69	High	Digitaria sp.	0.1
2007	8/20/07	69	High	Erigeron canadensis	8.33
2007	8/20/07	69	High	Hedeoma hispida	1.3
2007	8/20/07	69	High	Lepidium densiflorum	0.13
2007	8/20/07	69	High	Lupinus perennis	0.37
2007	8/20/07	69	High	Miscellaneous litter	0.7
2007	8/20/07	69	High	Physalis virginiana	0.43
2007	8/20/07	69	High	Taraxicum officinalis	0.06
2007	8/24/07	69	Low	Achillea millefolium(lanulosa)	2.97
2007	8/24/07	69	Low	Agrostis scabra	0.47
2007	8/24/07	69	Low	Ambrosia artemisiifolia elatior	0.47
2007	8/24/07	69	Low	Aristida basiramea	9.53
2007	8/24/07	69	Low	Bouteloua gracilis	0.1
2007	8/24/07	69	Low	Crepis tectorum	1.33
2007	8/24/07	69	Low	Cyperus sp.	1.7
2007	8/24/07	69	Low	Eragrostis spectabilis	1.63
2007	8/24/07	69	Low	Erigeron canadensis	2.67
2007	8/24/07	69	Low	Hedeoma hispida	0.2
2007	8/24/07	69	Low	Lespedeza capitata	0.1
2007	8/24/07	69	Low	Miscellaneous litter	0.93
2007	8/24/07	69	Low	Physalis virginiana	1.97
2007	8/24/07	69	Low	Schizachyrium scoparium	0.23
2007	8/23/07	78	Control	Amorpha canescens	9.3
2007	8/21/07	78	Control	Unsorted biomass	216.13
2007	8/23/07	78	High	Andropogon gerardi	22.6
2007	8/23/07	78	High	Bouteloua gracilis	0.73
2007	8/23/07	78	High	Lespedeza capitata	7.03
2007	8/23/07	78	High	Lupinus perennis	20.9
2007	8/23/07	78	High	Petalostemum purpureum	0.3
2007	8/23/07	78	High	Poa pratensis	1.3
2007	8/23/07	78	High	Schizachyrium scoparium	10.87
2007	8/23/07	78	High	Solidago rigida	133
2007	8/23/07	78	High	Sorghastrum nutans	1.4
2007	8/28/07	78	Low	Amorpha canescens	47.8
2007	8/28/07	78	Low	Andropogon gerardi	19.1
2007	8/28/07	78	Low	Bouteloua gracilis	9.93
2007	8/28/07	78	Low	Coreopsis palmata	1.03
2007	8/28/07	78	Low	Erigeron canadensis	4.17
2007	8/28/07	78	Low	-9999	9.53
2007	8/28/07	78	Low	Liatris aspera	11.03
2007	8/28/07	78	Low	Lupinus perennis	10.27
2007	8/28/07	78	Low	Petalostemum purpureum	6.53
2007	8/28/07	78	Low	Poa pratensis	0.9
2007	8/28/07	78	Low	Schizachyrium scoparium	10.83
2007	8/28/07	78	Low	Solidago nemoralis	3.43
2007	8/22/07	29	Control	Mosses	150.53
2007	8/22/07	29	Control	Yellow Perch	150.53
2007	8/22/07	29	Control	Rainbow smelt	150.53
2007	8/22/07	29	Control	Large mouth bass	150.53
2007	8/28/07	78	Low	Petalostemum S.p.	6.53
2007	8/28/07	78	Low	Poa Cf.	0.9
2007	8/28/07	78	Low	Schizachyrium spp.	10.83
2007	8/28/07	78	Low	Petalostemum	6.53
2007	8/28/07	78	Low	Poa cf...	0.9
2007	8/28/07	78	Low	Schizachyrium sPp	10.83
2007	8/24/07	64	Low	_Koeleria_cristata	0.83
2007	8/24/07	64	Low	Lespedeza_capitata	44.1
2007	8/24/07	64	Low	_Liatris_aspera_	14
2007	8/24/07	64	Low		0.83
2007	8/24/07	64	Low		44.1
